Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
DeiT,0.01,SGD,0,FALSE,0.5,4,0.658,0.687,0.606,112.29
DenseNet121,0.1,SGD,1.00E-05,FALSE,0,7,0.657,0.659,0.605,119.02
DenseNet121,0.1,SGD,1.00E-05,FALSE,0.5,12,0.658,0.661,0.604,192.79
DenseNet121,0.1,SGD,0.0001,TRUE,0.5,7,0.663,0.661,0.603,121.39
DeiT,0.005,SGD,1.00E-05,TRUE,0.5,5,0.666,0.663,0.602,230.59
DeiT,0.01,SGD,0.0001,FALSE,0.5,4,0.657,0.674,0.601,111.66
DenseNet121,0.05,SGD,0,FALSE,0,7,0.655,0.994,0.601,131.63
DeiT,0.005,SGD,0,TRUE,0.5,8,0.665,0.684,0.600,330.87
DenseNet121,0.1,SGD,0,TRUE,0.5,11,0.662,0.853,0.600,173.99
DenseNet121,0.05,SGD,1.00E-05,TRUE,0,8,0.662,0.660,0.599,130.96
DenseNet121,0.05,SGD,0.0001,TRUE,0.5,15,0.663,0.668,0.598,230.57
DeiT,0.01,SGD,1.00E-05,FALSE,0.5,4,0.661,0.665,0.597,112.12
DenseNet121,0.05,SGD,0.001,TRUE,0,1,0.669,0.671,0.596,28.99
DeiT,0.01,SGD,0.0001,TRUE,0.5,1,0.673,0.663,0.596,76.93
DenseNet121,0.1,SGD,1.00E-05,TRUE,0.5,2,0.669,0.671,0.595,45.54
DeiT,0.01,SGD,1.00E-05,TRUE,0.5,4,0.666,0.670,0.595,188.53
DeiT,0.005,SGD,0,FALSE,0.5,2,0.665,0.706,0.595,65.55
DenseNet121,0.05,SGD,0,TRUE,0,4,0.665,0.673,0.594,72.47
DeiT,0.005,SGD,1.00E-05,FALSE,0.5,11,0.657,0.691,0.594,267.63
DenseNet121,0.05,SGD,1.00E-05,TRUE,0.5,13,0.660,2.068,0.593,203.25
DenseNet121,0.1,SGD,0.0001,FALSE,0,21,0.660,0.845,0.593,322.34
DenseNet121,0.1,SGD,1.00E-05,TRUE,0,18,0.664,2.623,0.593,279.31
DenseNet121,0.1,SGD,0.0001,TRUE,0,13,0.663,0.668,0.592,209.11
DenseNet121,0.05,SGD,0,TRUE,0.5,13,0.664,1.563,0.591,207.12
DenseNet121,0.1,SGD,0,FALSE,0.5,4,3.808,2.785,0.590,76.04
DenseNet121,0.1,SGD,0.001,TRUE,0.5,8,0.665,0.665,0.589,133.67
DenseNet121,0.1,SGD,0.001,FALSE,0,10,0.656,0.660,0.589,158.39
DeiT,0.05,SGD,0,FALSE,0.5,3,0.661,0.677,0.589,89.72
DenseNet121,0.1,SGD,0,TRUE,0,17,0.663,0.663,0.589,259.96
DeiT,0.005,SGD,0.0001,TRUE,0.5,8,0.665,0.666,0.588,342.32
DenseNet121,0.05,SGD,0.0001,FALSE,0.5,17,0.661,1.171,0.588,277.85
DeiT,0.05,SGD,1.00E-05,TRUE,0.5,5,0.666,0.666,0.587,221.50
DeiT,0.005,SGD,0.001,FALSE,0.5,0,0.682,0.674,0.587,22.78
DeiT,0.05,SGD,0,TRUE,0.5,5,0.667,0.666,0.586,224.65
DeiT,0.05,SGD,1.00E-05,FALSE,0.5,0,0.722,0.676,0.585,23.24
DenseNet121,0.1,SGD,0,FALSE,0,10,0.660,0.743,0.585,162.20
DeiT,0.005,SGD,0.0001,FALSE,0.5,2,0.666,0.695,0.583,66.94
DeiT,0.01,SGD,0,TRUE,0.5,8,0.664,0.679,0.582,340.25
DeiT,0.01,SGD,0.001,TRUE,0.5,1,0.675,0.670,0.581,72.24
DeiT,0.005,SGD,0.001,TRUE,0.5,1,0.673,0.676,0.581,73.75
DeiT,0.05,SGD,0.001,FALSE,0,0,0.675,0.668,0.580,884.50
DeiT,0.01,SGD,0.001,FALSE,0.5,6,0.662,0.723,0.579,158.31
DenseNet121,0.1,AdamW,1.00E-05,FALSE,0.5,13,0.662,0.795,0.578,212.99
DeiT,0.05,SGD,0.001,TRUE,0,4,0.675,0.676,0.577,174.51
DenseNet121,0.1,SGD,0.001,TRUE,0,0,1.447,0.671,0.575,14.65
DeiT,0.05,SGD,0.0001,FALSE,0.5,7,0.674,0.674,0.574,182.04
DeiT,0.05,SGD,0.001,TRUE,0.5,1,0.679,0.679,0.574,75.44
DenseNet121,0.1,AdamW,0.001,FALSE,0,5,3.518,2.328,0.574,91.45
DeiT,0.05,SGD,0.001,FALSE,0.5,0,0.709,0.677,0.570,22.87
DeiT,0.1,SGD,1.00E-05,TRUE,0,0,0.752,0.727,0.568,37.02
DenseNet121,0.1,SGD,0.001,FALSE,0.5,0,1.463,0.675,0.566,14.65
DeiT,0.05,SGD,0.0001,TRUE,0.5,0,0.708,0.671,0.565,37.70
DeiT,0.005,AdamW,0.001,FALSE,0,11,0.669,0.672,0.555,434.06
DeiT,0.005,AdamW,0.0001,TRUE,0,10,0.671,0.672,0.554,395.21
DeiT,0.01,AdamW,0,TRUE,0,14,0.672,0.673,0.553,546.46
DeiT,0.005,AdamW,0,FALSE,0,8,0.667,0.674,0.552,348.35
DeiT,0.005,AdamW,0.0001,FALSE,0,7,0.667,0.670,0.551,301.36
DeiT,0.01,AdamW,0.0001,FALSE,0,14,0.669,0.673,0.551,565.12
DeiT,0.005,AdamW,0.001,FALSE,0.5,0,0.697,0.676,0.550,23.81
DeiT,0.01,AdamW,1.00E-05,TRUE,0,9,0.673,0.674,0.549,385.57
DeiT,0.01,AdamW,1.00E-05,FALSE,0.5,4,0.674,0.675,0.549,102.06
DeiT,0.005,AdamW,1.00E-05,FALSE,0,1,0.676,0.675,0.549,73.81
DeiT,0.005,AdamW,0.001,TRUE,0,0,0.685,0.676,0.547,38.41
DeiT,0.01,AdamW,0.001,TRUE,0,6,0.673,0.675,0.546,264.58
DeiT,0.005,AdamW,0,TRUE,0,5,0.672,0.673,0.545,232.66
DeiT,0.05,AdamW,0.001,TRUE,0.5,12,0.674,0.676,0.544,504.76
DeiT,0.01,AdamW,0.001,FALSE,0,7,0.667,0.675,0.544,288.71
DeiT,0.005,AdamW,0.0001,TRUE,0.5,5,0.675,0.675,0.544,221.06
DenseNet121,0.1,AdamW,0.0001,FALSE,0.5,0,1.996,2.488,0.544,15.26
DeiT,0.01,AdamW,0.0001,TRUE,0,6,0.673,0.673,0.543,257.81
DeiT,0.01,AdamW,0,FALSE,0.5,3,0.675,0.676,0.543,79.04
DeiT,0.01,AdamW,0,FALSE,0,1,0.678,0.685,0.543,74.60
DeiT,0.01,AdamW,0,TRUE,0.5,8,0.674,0.676,0.542,330.44
DeiT,0.1,SGD,0.0001,TRUE,0.5,1,0.682,0.685,0.542,75.52
DeiT,0.005,AdamW,1.00E-05,TRUE,0,7,0.673,0.674,0.542,302.79
DeiT,0.1,SGD,0.001,TRUE,0.5,8,0.674,0.674,0.541,324.18
DeiT,0.05,AdamW,1.00E-05,TRUE,0.5,13,0.675,0.676,0.541,514.26
DeiT,0.005,AdamW,1.00E-05,TRUE,0.5,2,0.683,0.689,0.540,109.85
DeiT,0.05,AdamW,0,TRUE,0.5,1,0.762,0.705,0.540,75.46
DeiT,0.005,AdamW,1.00E-05,FALSE,0.5,0,0.697,0.693,0.539,20.09
DeiT,0.1,SGD,1.00E-05,FALSE,0.5,3,0.674,0.676,0.538,88.36
DeiT,0.005,AdamW,0.0001,FALSE,0.5,11,0.675,0.676,0.538,281.98
DeiT,0.01,AdamW,0.001,FALSE,0.5,0,0.712,0.691,0.538,26.19
DeiT,0.01,AdamW,1.00E-05,FALSE,0,13,0.674,0.676,0.538,512.77
DeiT,0.01,AdamW,1.00E-05,TRUE,0.5,1,0.682,0.676,0.538,75.90
DeiT,0.01,AdamW,0.0001,TRUE,0.5,4,0.674,0.678,0.537,191.79
DeiT,0.005,AdamW,0,TRUE,0.5,11,0.674,0.676,0.537,443.10
DeiT,0.005,AdamW,0,FALSE,0.5,0,0.698,0.689,0.536,26.20
DeiT,0.05,AdamW,1.00E-05,FALSE,0.5,5,0.678,0.676,0.535,131.16
DeiT,0.1,SGD,0.0001,FALSE,0.5,3,0.675,0.676,0.534,89.32
DeiT,0.005,AdamW,0.001,TRUE,0.5,0,0.693,0.719,0.533,37.96
DeiT,0.01,AdamW,0.0001,FALSE,0.5,10,0.674,0.676,0.530,227.57
DeiT,0.01,AdamW,0.001,TRUE,0.5,1,0.682,0.676,0.530,75.64
DenseNet121,0.1,AdamW,0.001,TRUE,0.5,0,1.970,0.676,0.525,15.41
DeiT,0.05,AdamW,0.001,FALSE,0,2,38.703,36.606,0.515,106.56
DeiT,0.1,SGD,0.001,TRUE,0,0,46.336,35.380,0.514,35.60
DeiT,0.1,SGD,0,TRUE,0.5,2,47.266,45.035,0.512,111.15
DenseNet121,0.05,AdamW,1.00E-05,TRUE,0.5,0,1.326,0.791,0.504,16.40
DenseNet121,0.1,AdamW,1.00E-05,TRUE,0.5,2,0.677,0.687,0.504,45.55
DeiT,0.1,SGD,0.001,FALSE,0,1,37.654,33.971,0.502,71.50
DenseNet121,0.1,AdamW,0,TRUE,0,9,0.674,0.676,0.502,153.29
DenseNet121,0.1,AdamW,0.0001,FALSE,0,0,1.306,0.680,0.502,16.00
DeiT,0.05,AdamW,0,FALSE,0,0,40.324,40.774,0.500,36.04
DeiT,0.05,AdamW,1.00E-05,FALSE,0,0,40.274,40.801,0.500,35.58
DeiT,0.05,AdamW,0.0001,FALSE,0,0,40.281,40.774,0.500,36.44
DeiT,0.1,AdamW,0,FALSE,0,0,59.584,59.226,0.500,34.79
DeiT,0.1,AdamW,1.00E-05,FALSE,0,0,40.283,40.855,0.500,34.61
DeiT,0.1,AdamW,0.0001,FALSE,0,0,59.577,59.226,0.500,36.05
DeiT,0.1,AdamW,0.001,FALSE,0,0,59.575,59.199,0.500,34.68
DeiT,0.1,SGD,0,FALSE,0,0,37.598,50.000,0.500,889.78
DeiT,0.1,SGD,1.00E-05,FALSE,0,0,26.129,50.000,0.500,881.66
DeiT,0.1,SGD,0.0001,FALSE,0,0,42.385,50.000,0.500,33.41
DeiT,0.05,AdamW,0,FALSE,0.5,0,40.310,40.828,0.500,22.46
DeiT,0.05,AdamW,0.0001,FALSE,0.5,0,39.722,40.774,0.500,22.38
DeiT,0.05,AdamW,0.001,FALSE,0.5,0,40.310,40.855,0.500,22.33
DeiT,0.1,AdamW,0,FALSE,0.5,0,40.320,40.774,0.500,22.21
DeiT,0.1,AdamW,1.00E-05,FALSE,0.5,0,40.326,40.801,0.500,22.48
DeiT,0.1,AdamW,0.0001,FALSE,0.5,0,40.307,40.801,0.500,23.58
DeiT,0.1,AdamW,0.001,FALSE,0.5,0,59.596,59.226,0.500,22.38
DeiT,0.1,SGD,0,FALSE,0.5,0,38.502,59.253,0.500,24.11
DeiT,0.1,SGD,0.001,FALSE,0.5,2,0.676,0.680,0.500,67.57
DeiT,0.05,AdamW,0,TRUE,0,0,59.512,59.253,0.500,36.11
DeiT,0.05,AdamW,1.00E-05,TRUE,0,0,40.286,40.801,0.500,36.33
DeiT,0.05,AdamW,0.0001,TRUE,0,0,59.534,59.226,0.500,34.77
DeiT,0.05,AdamW,0.001,TRUE,0,0,40.254,40.855,0.500,36.40
DeiT,0.1,AdamW,0,TRUE,0,0,40.330,40.828,0.500,34.25
DeiT,0.1,AdamW,1.00E-05,TRUE,0,0,40.348,40.774,0.500,35.76
DeiT,0.1,AdamW,0.0001,TRUE,0,0,59.572,59.199,0.500,35.15
DeiT,0.1,AdamW,0.001,TRUE,0,0,40.321,40.828,0.500,36.13
DeiT,0.1,SGD,0.0001,TRUE,0,0,58.802,59.145,0.500,34.16
DeiT,0.05,AdamW,0.0001,TRUE,0.5,0,49.923,50.000,0.500,37.12
DeiT,0.1,AdamW,0,TRUE,0.5,0,40.317,40.774,0.500,37.36
DeiT,0.1,AdamW,1.00E-05,TRUE,0.5,0,40.331,40.828,0.500,48.82
DeiT,0.1,AdamW,0.0001,TRUE,0.5,0,40.323,40.828,0.500,37.05
DeiT,0.1,AdamW,0.001,TRUE,0.5,0,40.327,40.882,0.500,37.14
DeiT,0.1,SGD,1.00E-05,TRUE,0.5,4,43.690,40.801,0.500,181.65
DenseNet121,0.1,AdamW,0,FALSE,0,0,49.971,50.000,0.500,15.96
DenseNet121,0.1,AdamW,1.00E-05,TRUE,0,0,40.305,40.801,0.500,15.27
DenseNet121,0.1,AdamW,0.001,TRUE,0,0,49.976,50.000,0.500,15.03
DenseNet121,0.1,AdamW,0,TRUE,0.5,0,40.321,40.882,0.500,15.23
DenseNet121,0.1,AdamW,0.0001,TRUE,0.5,0,49.968,50.000,0.500,15.22
DeiT,0.1,SGD,0,TRUE,0,0,45.131,49.959,0.498,34.73
