Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
DenseNet121,0.05,AdamW,0,TRUE,0.5,10,0.155,0.152,0.703,134.58
DenseNet121,0.05,AdamW,1.00E-05,TRUE,0,12,0.156,0.152,0.702,334.63
DenseNet121,0.1,AdamW,0,TRUE,0.5,12,0.155,0.152,0.701,279.74
DenseNet121,0.05,AdamW,0.001,TRUE,0.5,17,0.156,0.153,0.700,378.88
DenseNet121,0.1,AdamW,0.001,TRUE,0,13,0.156,0.153,0.698,288.27
DenseNet121,0.05,AdamW,0.0001,TRUE,0,12,0.156,0.153,0.696,405.25
DenseNet121,0.05,SGD,0.001,TRUE,0,0,0.157,0.157,0.695,35.62
DenseNet121,0.05,SGD,0.001,TRUE,0.5,0,0.158,0.159,0.694,21.89
DenseNet121,0.1,AdamW,0,FALSE,0.5,11,0.152,0.153,0.693,127.39
DenseNet121,0.05,SGD,0.001,FALSE,0.5,0,0.153,0.159,0.693,19.83
DenseNet121,0.1,AdamW,0.0001,TRUE,0.5,14,0.156,0.154,0.690,313.68
DenseNet121,0.1,AdamW,1.00E-05,FALSE,0.5,11,0.153,0.154,0.687,248.67
DenseNet121,0.05,AdamW,0.0001,TRUE,0.5,10,0.156,0.154,0.686,228.68
DenseNet121,0.1,AdamW,1.00E-05,TRUE,0.5,12,0.157,0.154,0.682,270.95
DeiT,0.1,SGD,0,FALSE,0.5,2,0.159,0.171,0.674,132.90
DeiT,0.05,SGD,0,TRUE,0.5,3,0.159,0.161,0.671,175.40
DeiT,0.1,SGD,1.00E-05,FALSE,0.5,2,0.159,0.186,0.668,133.61
DeiT,0.05,SGD,0,FALSE,0.5,3,0.157,0.160,0.666,176.97
DeiT,0.05,SGD,1.00E-05,FALSE,0.5,3,0.156,0.178,0.665,179.35
DeiT,0.05,SGD,1.00E-05,TRUE,0.5,2,0.161,0.164,0.665,130.38
DeiT,0.1,SGD,1.00E-05,TRUE,0.5,5,0.159,0.163,0.664,269.16
DeiT,0.1,SGD,0,TRUE,0.5,3,0.160,0.158,0.658,175.90
DeiT,0.01,SGD,0.0001,TRUE,0.5,2,0.161,0.170,0.658,66.91
DenseNet121,0.1,SGD,0.001,FALSE,0,21,0.158,0.159,0.655,436.46
DeiT,0.01,SGD,0,FALSE,0.5,5,0.157,0.163,0.653,263.05
DeiT,0.01,SGD,0.0001,FALSE,0.5,6,0.157,0.168,0.652,272.20
DeiT,0.01,SGD,1.00E-05,FALSE,0.5,7,0.157,0.163,0.651,305.96
DeiT,0.01,SGD,1.00E-05,TRUE,0.5,8,0.159,0.160,0.651,401.73
DenseNet121,0.1,SGD,0.001,FALSE,0.5,12,0.159,0.159,0.650,257.72
DeiT,0.05,SGD,0.0001,FALSE,0.5,1,0.162,0.170,0.644,88.99
DeiT,0.05,SGD,0.0001,TRUE,0.5,0,0.166,0.170,0.642,44.95
DeiT,0.01,SGD,0,TRUE,0.5,5,0.160,0.165,0.642,265.32
DeiT,0.005,SGD,1.00E-05,FALSE,0.5,4,0.158,0.165,0.641,235.08
DeiT,0.005,SGD,0,FALSE,0.5,2,0.160,0.164,0.640,139.90
DeiT,0.005,SGD,0,TRUE,0.5,7,0.160,0.162,0.637,354.99
